업체명,도로명주소,지번주소,위도,경도
덕수공원 반려견 놀이터,덕양구 고양대로 1804-22 ,덕양구 동산동 332번지,37.64147975,126.8791548
호수공원 반려견 놀이터,일산동구 노루목로 10,일산동구 장항동 903-1번지,37.649754,126.767684
원흥 도래울 반려견 간이 놀이터,,덕양구 도내동 980번지,37.62637766,126.8741904
나인비치37Surf,,강원 동해시 동해대로 6218,37.59003201,129.0961145
대관령눈꽃축제,강원 평창군 대관령면 횡계리 329-4,강원 평창군 대관령면 대관령로 119,37.67223639,128.709592
별빛반려견 놀이터,강원 영월군 남면 연당리 1036,강원 영월군 남면 연당로 47-6,37.1865875,128.4044963
삼척해양레일바이크,강원 삼척시 근덕면 궁촌리 146-10,강원 삼척시 근덕면 공양왕길2,37.32364924,129.2663648
세인트존스호텔 파인풀,강원 강릉시 강문동 1-1,강원 강릉시 창해로 307,37.79128075,128.9209314
옥산가(옥광산),강원 춘천시 동면 월곡리 246,강원 춘천시 동면 금옥길 228,37.92005546,127.8052555
유알컬처파크,강원 원주시 지정면 안창리 595-14,강원 원주시 지정면 지정로 912,37.35851945,127.8022774
인제빙어축제,강원 인제군 남면 부평리 555-2,,37.99774745,128.0985029
정선 레일바이크,강원 정선군 여량면 구절리 290-82,강원 정선군 여량면 노추산로 745,37.5170461,128.7304317
정선 스카이워크,강원 정선군 정선읍 귤암리 산200,강원 정선군 정선읍 병방치길 225,37.36235936,128.6354266
제니얼독,강원 속초시 떡밭재로 232,,38.18339069,128.5821351
준독트레이닝센터,,강원 춘천시 서면 노동길 71,37.84040675,127.5879998
춘천 물레길,강원 춘천시 송암동 644-23,강원 춘천시 스포츠타운길 113-1,37.85496429,127.6857679
춘천의암호스카이워크,강원 춘천시 칠전동 486,,37.84684571,127.6807019
투개더파크,강원 춘천시 남산면 방하리 198-7,,37.7902318,127.5262516
평창 송어축제,강원 평창군 진부면 하진부리 325,강원 평창군 진부면 경강로 3562,37.63321778,128.5570396
하슬라아트월드,강원 강릉시 강동면 정동진리 524-25,강원 강릉시 강동면 율곡로 1441,37.70545629,129.0078449
휘바핀란드,강원 홍천군 서면 두미리 631-6,강원 홍천군 서면 팔봉산로 368,37.66899802,127.6585074
어린이 대공원,,,37.546099,127.084563
월드컵공원,,,37.566385,126.893182
보라매공원,,,37.49084469,126.9198787
매헌시민의숲,,,37.4711498,127.0333771
초안산근린공원,,,37.64755404,127.0406841
송파구 반려견 놀이터,,,37.49641284,127.1004992
영등포구 반려견 놀이터,,,37.52239759,126.8813809
구로구 반려견 놀이터,,,37.507221,126.87436
동대문구 반려견 놀이터,,,37.580286,127.076904
마포구 반려견놀이터 (댕댕이 놀이터),,,37.53838567,126.9434108
북서울꿈의숲,,,37.62311546,127.0443047
